2015/09/06 10:04:20 INFO  - jmeter.util.JMeterUtils: Setting Locale to en_GB 
2015/09/06 10:04:21 INFO  - jmeter.JMeter: Loading user properties from: C:\Users\alfresco\Downloads\share-jmeter-tests\bin\user.properties 
2015/09/06 10:04:21 INFO  - jmeter.JMeter: Loading system properties from: C:\Users\alfresco\Downloads\share-jmeter-tests\bin\system.properties 
2015/09/06 10:04:21 INFO  - jmeter.JMeter: Copyright (c) 1998-2015 The Apache Software Foundation 
2015/09/06 10:04:21 INFO  - jmeter.JMeter: Version 2.13 r1665067 
2015/09/06 10:04:21 INFO  - jmeter.JMeter: java.version=1.8.0_45 
2015/09/06 10:04:21 INFO  - jmeter.JMeter: java.vm.name=Java HotSpot(TM) Client VM 
2015/09/06 10:04:21 INFO  - jmeter.JMeter: os.name=Windows 7 
2015/09/06 10:04:21 INFO  - jmeter.JMeter: os.arch=x86 
2015/09/06 10:04:21 INFO  - jmeter.JMeter: os.version=6.1 
2015/09/06 10:04:21 INFO  - jmeter.JMeter: file.encoding=Cp1252 
2015/09/06 10:04:21 INFO  - jmeter.JMeter: Default Locale=English (United Kingdom) 
2015/09/06 10:04:21 INFO  - jmeter.JMeter: JMeter  Locale=English (United Kingdom) 
2015/09/06 10:04:21 INFO  - jmeter.JMeter: JMeterHome=C:\Users\alfresco\Downloads\share-jmeter-tests 
2015/09/06 10:04:21 INFO  - jmeter.JMeter: user.dir  =C:\Users\alfresco\Downloads\share-jmeter-tests\bin 
2015/09/06 10:04:21 INFO  - jmeter.JMeter: PWD       =C:\Users\alfresco\Downloads\share-jmeter-tests\bin 
2015/09/06 10:04:21 INFO  - jmeter.JMeter: IP: 3.254.80.199 Name: alfresco_PC FullName: 3.254.80.199 
2015/09/06 10:04:21 INFO  - jmeter.gui.action.LookAndFeelCommand: Using look and feel: javax.swing.plaf.metal.MetalLookAndFeel [Metal, CrossPlatform] 
2015/09/06 10:04:21 INFO  - jmeter.JMeter: Loaded icon properties from org/apache/jmeter/images/icon.properties 
2015/09/06 10:04:22 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must contain the string: '.functions.' 
2015/09/06 10:04:22 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must not contain the string: '.gui.' 
2015/09/06 10:04:24 WARN  - jmeter.gui.util.MenuFactory: Missing jar? Could not create kg.apc.jmeter.config.redis.RedisDataSet. java.lang.NoClassDefFoundError: org/apache/commons/pool/impl/GenericObjectPool$Config 
2015/09/06 10:04:24 INFO  - jmeter.util.BSFTestElement: Registering JMeter version of JavaScript engine as work-round for BSF-22 
2015/09/06 10:04:25 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Cannot find .className property for htmlParser, using default 
2015/09/06 10:04:25 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/html is  
2015/09/06 10:04:25 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xhtml+xml is  
2015/09/06 10:04:25 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xml is  
2015/09/06 10:04:25 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/xml is  
2015/09/06 10:04:25 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/vnd.wap.wml is org.apache.jmeter.protocol.http.parser.RegexpHTMLParser 
2015/09/06 10:04:25 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.protocol.http.control.gui.WebServiceSamplerGui 
2015/09/06 10:04:25 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.protocol.http.modifier.gui.ParamModifierGui 
2015/09/06 10:04:25 INFO  - jorphan.exec.KeyToolUtils: keytool found at 'C:\Program Files\Java\jre1.8.0_45\bin\keytool' 
2015/09/06 10:04:25 INFO  - jmeter.protocol.http.proxy.ProxyControl: HTTP(S) Test Script Recorder SSL Proxy will use keys that support embedded 3rd party resources in file C:\Users\alfresco\Downloads\share-jmeter-tests\bin\proxyserver.jks 
2015/09/06 10:04:26 INFO  - jmeter.samplers.SampleResult: Note: Sample TimeStamps are START times 
2015/09/06 10:04:26 INFO  - jmeter.samplers.SampleResult: sampleresult.default.encoding is set to ISO-8859-1 
2015/09/06 10:04:26 INFO  - jmeter.samplers.SampleResult: sampleresult.useNanoTime=true 
2015/09/06 10:04:26 INFO  - jmeter.samplers.SampleResult: sampleresult.nanoThreadSleep=5000 
